trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5477292602242685}",25,12,21.60544099554608,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,12,20.495729121044842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.9999608263946371}",20,9,13.382626508469592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.8733046400935156}",35,3,-90.80294804907618,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 3}",1
46,False,"{'a': 0.5, 'e': 0.5328330203333975}",20,0,10.473702062356748,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.061905293994420546}",20,9,8.194805457216766,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.4241790073369969}",20,0,22.123992791740516,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",20,13,11.67648495709373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",30,8,24.748047710495577,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,19.301166933496575,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,14,10.794298681318804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.202135120387182}",20,10,18.577333120187006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.2921388087338362}",25,0,18.488456520279282,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7148869687796651}",30,8,35.739338766471576,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.9626058663135666}",20,0,4.782488360304403,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9746452757206577}",30,22,14.31576760785833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7480575296890004}",20,0,-15.898049626846342,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.3383192109710552}",30,11,5.5444459276859455,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",20,0,-11.099885289125757,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",20,12,-28.912055006209798,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",30,8,32.36063352634027,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",20,0,20.377509144086847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",20,0,11.800738093718287,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",30,0,22.297682035988483,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.013276747223059479}",20,1,22.856739968582215,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
